player_id,status,p_start,exp_minutes
BRA_01,start,,
BRA_02,bench,,
BRA_03,start,,
BRA_04,start,,
BRA_05,start,,
BRA_06,start,,
BRA_07,bench,,
BRA_08,start,,
BRA_09,start,,
BRA_10,start,,
BRA_11,start,,
BRA_12,bench,,
BRA_13,start,,
BRA_14,start,,
BRA_15,bench,,
JAP_01,start,,
JAP_02,bench,,
JAP_03,start,,
JAP_04,start,,
JAP_05,start,,
JAP_06,start,,
JAP_07,bench,,
JAP_08,start,,
JAP_09,start,,
JAP_10,start,,
JAP_11,start,,
JAP_12,bench,,
JAP_13,start,,
JAP_14,start,,
JAP_15,bench,,
FRA_01,start,,
FRA_02,bench,,
FRA_03,start,,
FRA_04,start,,
FRA_05,start,,
FRA_06,start,,
FRA_07,bench,,
FRA_08,start,,
FRA_09,start,,
FRA_10,start,,
FRA_11,start,,
FRA_12,bench,,
FRA_13,start,,
FRA_14,start,,
FRA_15,bench,,
MEX_01,start,,
MEX_02,bench,,
MEX_03,start,,
MEX_04,start,,
MEX_05,start,,
MEX_06,start,,
MEX_07,bench,,
MEX_08,start,,
MEX_09,start,,
MEX_10,start,,
MEX_11,start,,
MEX_12,bench,,
MEX_13,start,,
MEX_14,start,,
MEX_15,bench,,
ENG_01,start,,
ENG_02,bench,,
ENG_03,start,,
ENG_04,start,,
ENG_05,start,,
ENG_06,start,,
ENG_07,bench,,
ENG_08,start,,
ENG_09,start,,
ENG_10,start,,
ENG_11,start,,
ENG_12,bench,,
ENG_13,start,,
ENG_14,start,,
ENG_15,bench,,
USA_01,start,,
USA_02,bench,,
USA_03,start,,
USA_04,start,,
USA_05,start,,
USA_06,start,,
USA_07,bench,,
USA_08,start,,
USA_09,start,,
USA_10,start,,
USA_11,start,,
USA_12,bench,,
USA_13,start,,
USA_14,start,,
USA_15,bench,,
SPA_01,start,,
SPA_02,bench,,
SPA_03,start,,
SPA_04,start,,
SPA_05,start,,
SPA_06,start,,
SPA_07,bench,,
SPA_08,start,,
SPA_09,start,,
SPA_10,start,,
SPA_11,start,,
SPA_12,bench,,
SPA_13,start,,
SPA_14,start,,
SPA_15,bench,,
CRO_01,start,,
CRO_02,bench,,
CRO_03,start,,
CRO_04,start,,
CRO_05,start,,
CRO_06,start,,
CRO_07,bench,,
CRO_08,start,,
CRO_09,start,,
CRO_10,start,,
CRO_11,start,,
CRO_12,bench,,
CRO_13,start,,
CRO_14,start,,
CRO_15,bench,,
ARG_01,start,,
ARG_02,bench,,
ARG_03,start,,
ARG_04,start,,
ARG_05,start,,
ARG_06,start,,
ARG_07,bench,,
ARG_08,start,,
ARG_09,start,,
ARG_10,start,,
ARG_11,start,,
ARG_12,bench,,
ARG_13,start,,
ARG_14,start,,
ARG_15,bench,,
NET_01,start,,
NET_02,bench,,
NET_03,start,,
NET_04,start,,
NET_05,start,,
NET_06,start,,
NET_07,bench,,
NET_08,start,,
NET_09,start,,
NET_10,start,,
NET_11,start,,
NET_12,bench,,
NET_13,start,,
NET_14,start,,
NET_15,bench,,
GER_01,start,,
GER_02,bench,,
GER_03,start,,
GER_04,start,,
GER_05,start,,
GER_06,start,,
GER_07,bench,,
GER_08,start,,
GER_09,start,,
GER_10,start,,
GER_11,start,,
GER_12,bench,,
GER_13,start,,
GER_14,start,,
GER_15,bench,,
POR_01,start,,
POR_02,bench,,
POR_03,start,,
POR_04,start,,
POR_05,start,,
POR_06,start,,
POR_07,bench,,
POR_08,start,,
POR_09,start,,
POR_10,start,,
POR_11,start,,
POR_12,bench,,
POR_13,start,,
POR_14,start,,
POR_15,bench,,
